factor,trade_date,portfolio_return,turnover,missing_return_count,suspended_return_count,invalid_missing_return_count,invalid_missing_weight,benchmark_return,excess_return
Grouped8_Equal,20260109,0.015525864509481093,0.0,1,1,0,0.0,0.01173877335008422,0.0037870911593968735
Grouped8_Equal,20260112,0.02574021357576985,0.0,2,2,0,0.0,0.017362646941842197,0.008377566633927653
Grouped8_Equal,20260113,-0.012825698041859937,0.0,4,4,0,0.0,-0.011729713076774395,-0.0010959849650855422
Grouped8_Equal,20260114,0.0054008741489140165,0.0,5,5,0,0.0,0.0030342296417056325,0.002366644507208384
Grouped8_Equal,20260115,-0.006095037705066255,0.0,7,7,0,0.0,-0.0016881679829767737,-0.004406869722089481
Grouped8_Equal,20260116,0.0017262633913883788,0.0,6,6,0,0.0,-0.002060969376234345,0.003787232767622724
Grouped8_Equal,20260119,0.01230545959138314,0.0,5,5,0,0.0,0.004087038092371875,0.008218421499011265
Grouped8_Equal,20260120,-0.007912119387815069,0.0,3,3,0,0.0,-0.00587942379274542,-0.002032695595069649
Grouped8_Equal,20260121,0.006693189425577108,0.0,3,3,0,0.0,0.0055628568537324785,0.0011303325718446293
Grouped8_Equal,20260122,0.009756748879151452,0.0,3,3,0,0.0,0.004433611579078622,0.00532313730007283
Grouped8_Equal,20260123,0.017240734480326335,0.0,3,3,0,0.0,0.00932974524458774,0.007910989235738596
Grouped8_Equal,20260126,-0.014153510514330591,0.0,3,3,0,0.0,-0.006606794170883945,-0.007546716343446646
Grouped8_Equal,20260127,-0.0002557199542497354,0.0,3,3,0,0.0,0.0014180131391201556,-0.001673733093369891
Grouped8_Equal,20260128,-0.006115456976287121,0.0,3,3,0,0.0,0.0012190817445292268,-0.007334538720816347
Grouped8_Equal,20260129,-0.008907496461381977,0.0,3,3,0,0.0,-0.0018498345088158175,-0.007057661952566159
Grouped8_Equal,20260130,-0.001462439076743085,0.0,3,3,0,0.0,-0.009587559401460277,0.008125120324717192
Grouped8_Equal,20260202,-0.021618761084989804,0.0,1,1,0,0.0,-0.02730462266961753,0.005685861584627725
Grouped8_Equal,20260203,0.026129004993476097,0.332378223495702,0,0,0,0.0,0.02116367137219588,0.004965333621280217
Grouped8_Equal,20260204,-0.00015788470248668843,0.0,0,0,0,0.0,0.004553163747194056,-0.004711048449680744
Grouped8_Equal,20260205,-0.009808683323631849,0.0,1,1,0,0.0,-0.011096840777404804,0.0012881574537729548
Grouped8_Equal,20260206,0.0022119267202613648,0.0,2,2,0,0.0,-0.0023505979617723938,0.0045625246820337586
Grouped8_Equal,20260209,0.017681378399547688,0.0,3,3,0,0.0,0.019073544541015508,-0.0013921661414678203
Grouped8_Equal,20260210,-0.002160152980552649,0.0,3,3,0,0.0,0.0006565711388863971,-0.002816724119439046
Grouped8_Equal,20260211,-0.0019831570432973745,0.0,3,3,0,0.0,-0.001677966666823183,-0.00030519037647419155
Grouped8_Equal,20260212,0.002649861894573428,0.0,3,3,0,0.0,0.0043328756262597246,-0.0016830137316862968
Grouped8_Equal,20260213,-0.008018008959760846,0.0,4,4,0,0.0,-0.011484555941747132,0.0034665469819862866
Grouped8_Equal,20260224,0.013804672436991912,0.0,3,3,0,0.0,0.010876840400544374,0.0029278320364475377
Grouped8_Equal,20260225,0.008446694392001746,0.0,4,4,0,0.0,0.010367100760160008,-0.001920406368158262
Grouped8_Equal,20260226,0.008106288341279601,0.0,5,5,0,0.0,0.0020698230887059577,0.006036465252573644
Grouped8_Equal,20260227,0.00662291344054868,0.0,4,4,0,0.0,0.0038830609895450507,0.0027398524510036295
Grouped8_Equal,20260302,-0.010838774003247955,0.0,4,4,0,0.0,-0.0035582477735300877,-0.007280526229717867
Grouped8_Equal,20260303,-0.0360164542900623,0.2958015267175573,0,0,0,0.0,-0.029423728345680522,-0.006592725944381775
Grouped8_Equal,20260304,-0.0008484046259899772,0.0,0,0,0,0.0,-0.0072568705480641205,0.006408465922074143
Grouped8_Equal,20260305,0.010266309439937399,0.0,0,0,0,0.0,0.010682140586218747,-0.00041583114628134833
Grouped8_Equal,20260306,0.01597532329012968,0.0,0,0,0,0.0,0.007016851182414907,0.008958472107714773
Grouped8_Equal,20260309,-0.0066455317659738665,0.0,0,0,0,0.0,-0.008468939228535644,0.001823407462561777
Grouped8_Equal,20260310,0.021023737050682067,0.0,0,0,0,0.0,0.015610800348464515,0.005412936702217552
Grouped8_Equal,20260311,-0.001748369579123084,0.0,0,0,0,0.0,0.0026715780281512114,-0.0044199476072742955
Grouped8_Equal,20260312,-0.009145222079071562,0.0,0,0,0,0.0,-0.005282570809520215,-0.0038626512695513465
