path,before_exists,after_exists,before_size,after_size,before_mtime_ns,after_mtime_ns,unchanged
database/data/bronze/adj_factor/adj_factor-1d1d33ce0619.parquet,True,True,49997,49997,1783444841388231700,1783444841388231700,True
database/data/bronze/adj_factor/adj_factor-1d3827ce675a.parquet,True,True,52263,52263,1783445155701391500,1783445155701391500,True
database/data/bronze/adj_factor/adj_factor-1d39c7adbc2f.parquet,True,True,53585,53585,1783445211361284900,1783445211361284900,True
database/data/bronze/adj_factor/adj_factor-1d46c178962d.parquet,True,True,51585,51585,1783444914987687300,1783444914987687300,True
database/data/bronze/adj_factor/adj_factor-1d902abea7f9.parquet,True,True,56808,56808,1783445392733568300,1783445392733568300,True
database/data/bronze/adj_factor/adj_factor-1d93f57bc47e.parquet,True,True,44149,44149,1783444733498822700,1783444733498822700,True
database/data/bronze/adj_factor/adj_factor-1e3dbc43871b.parquet,True,True,57340,57340,1783445463612817700,1783445463612817700,True
database/data/bronze/adj_factor/adj_factor-1e6630034c34.parquet,True,True,44047,44047,1783444727144965500,1783444727144965500,True
database/data/bronze/adj_factor/adj_factor-1e7f51652081.parquet,True,True,56615,56615,1783445322700586600,1783445322700586600,True
database/data/bronze/adj_factor/adj_factor-1e9651803ce4.parquet,True,True,53721,53721,1783445218666057400,1783445218666057400,True
database/data/bronze/adj_factor/adj_factor-1e9ac750ce6c.parquet,True,True,49942,49942,1783445098645643200,1783445098645643200,True
database/data/bronze/adj_factor/adj_factor-1eefe3d7dcc6.parquet,True,True,53919,53919,1783445231948302700,1783445231948302700,True
database/data/bronze/adj_factor/adj_factor-1f05f0ea2a61.parquet,True,True,48936,48936,1783444999970318900,1783444999970318900,True
database/data/bronze/adj_factor/adj_factor-1f2a7ef7a5eb.parquet,True,True,56504,56504,1783445346460037100,1783445346460037100,True
database/data/bronze/adj_factor/adj_factor-1f611d99cc1b.parquet,True,True,41908,41908,1783444668727751000,1783444668727751000,True
database/data/bronze/adj_factor/adj_factor-1f969c39e24a.parquet,True,True,54330,54330,1783445289325998200,1783445289325998200,True
database/data/bronze/adj_factor/adj_factor-1fa79220b5b0.parquet,True,True,45889,45889,1783444812601628500,1783444812601628500,True
database/data/bronze/adj_factor/adj_factor-1fdbc41db06a.parquet,True,True,46357,46357,1783444821027576700,1783444821027576700,True
database/data/bronze/adj_factor/adj_factor-20634cecb23d.parquet,True,True,50175,50175,1783444845351305300,1783444845351305300,True
database/data/bronze/adj_factor/adj_factor-209b78167754.parquet,True,True,41444,41444,1783444654368737700,1783444654368737700,True
database/data/bronze/adj_factor/adj_factor-20b4ea5eab47.parquet,True,True,54018,54018,1783445259029349000,1783445259029349000,True
database/data/bronze/adj_factor/adj_factor-20c006502cfc.parquet,True,True,51634,51634,1783444924475792900,1783444924475792900,True
database/data/bronze/adj_factor/adj_factor-2130972926fd.parquet,True,True,44326,44326,1783444740342716600,1783444740342716600,True
database/data/bronze/adj_factor/adj_factor-215128d369ac.parquet,True,True,49935,49935,1783445102876262600,1783445102876262600,True
database/data/bronze/adj_factor/adj_factor-219bc813cabf.parquet,True,True,49738,49738,1783445071263163500,1783445071263163500,True
database/data/bronze/adj_factor/adj_factor-21ae4dde4f2c.parquet,True,True,43447,43447,1783444693866317700,1783444693866317700,True
database/data/bronze/adj_factor/adj_factor-22387df71296.parquet,True,True,41114,41114,1783444635601409500,1783444635601409500,True
database/data/bronze/adj_factor/adj_factor-224767b1c325.parquet,True,True,51266,51266,1783444883004767100,1783444883004767100,True
database/data/bronze/adj_factor/adj_factor-226a6839689c.parquet,True,True,53965,53965,1783445257646868000,1783445257646868000,True
database/data/bronze/adj_factor/adj_factor-227eb02b2007.parquet,True,True,52748,52748,1783445183282101800,1783445183282101800,True
database/data/bronze/adj_factor/adj_factor-229a309ecd55.parquet,True,True,56356,56356,1783445331487717000,1783445331487717000,True
database/data/bronze/adj_factor/adj_factor-22d3ef5ea2c0.parquet,True,True,49400,49400,1783445044661606100,1783445044661606100,True
database/data/bronze/adj_factor/adj_factor-22f2daf4f4c8.parquet,True,True,49509,49509,1783445056156471200,1783445056156471200,True
database/data/bronze/adj_factor/adj_factor-2304e5d8ff59.parquet,True,True,54184,54184,1783445284332771700,1783445284332771700,True
database/data/bronze/adj_factor/adj_factor-2327cce79d4a.parquet,True,True,43777,43777,1783444713979664600,1783444713979664600,True
database/data/bronze/adj_factor/adj_factor-233024d93786.parquet,True,True,51842,51842,1783444952315795500,1783444952315795500,True
database/data/bronze/adj_factor/adj_factor-2354d7c46409.parquet,True,True,43727,43727,1783444708544898000,1783444708544898000,True
database/data/bronze/adj_factor/adj_factor-2363f7e96a4b.parquet,True,True,56964,56964,1783445449053605400,1783445449053605400,True
database/data/bronze/adj_factor/adj_factor-2381f8281f4d.parquet,True,True,54039,54039,1783445261438769500,1783445261438769500,True
database/data/bronze/adj_factor/adj_factor-23d9df7aba6c.parquet,True,True,41524,41524,1783444657015251400,1783444657015251400,True
database/data/bronze/adj_factor/adj_factor-246af7c6a94f.parquet,True,True,46275,46275,1783444815246342400,1783444815246342400,True
database/data/bronze/adj_factor/adj_factor-250ba21cb733.parquet,True,True,56588,56588,1783445316002681600,1783445316002681600,True
database/data/bronze/adj_factor/adj_factor-253364541a9a.parquet,True,True,45109,45109,1783444798411511700,1783444798411511700,True
database/data/bronze/adj_factor/adj_factor-254cd48e62ef.parquet,True,True,54065,54065,1783445262281831500,1783445262281831500,True
database/data/bronze/adj_factor/adj_factor-255bf5684604.parquet,True,True,44629,44629,1783444760093557800,1783444760093557800,True
database/data/bronze/adj_factor/adj_factor-25b3c8b49093.parquet,True,True,43671,43671,1783444704305761000,1783444704305761000,True
database/data/bronze/adj_factor/adj_factor-25efae02208f.parquet,True,True,45143,45143,1783444800540745100,1783444800540745100,True
database/data/bronze/adj_factor/adj_factor-26483a9de991.parquet,True,True,54046,54046,1783445265446480500,1783445265446480500,True
database/data/bronze/adj_factor/adj_factor-269dbde1ebc7.parquet,True,True,57490,57490,1783445470403784100,1783445470403784100,True
database/data/bronze/adj_factor/adj_factor-26d6e0daf2c5.parquet,True,True,51282,51282,1783445150022777200,1783445150022777200,True
database/data/bronze/adj_factor/adj_factor-26f7dcdb6d6c.parquet,True,True,56306,56306,1783445330600223400,1783445330600223400,True
database/data/bronze/adj_factor/adj_factor-2700813434dd.parquet,True,True,51028,51028,1783444872348740200,1783444872348740200,True
database/data/bronze/adj_factor/adj_factor-27199d5f1b2d.parquet,True,True,48942,48942,1783445005497917000,1783445005497917000,True
database/data/bronze/adj_factor/adj_factor-272acb26b5cb.parquet,True,True,51623,51623,1783444926855892400,1783444926855892400,True
