factor,trade_date,portfolio_return,turnover,missing_return_count,suspended_return_count,invalid_missing_return_count,invalid_missing_weight,composite_factor,bucket
Composite_RollingRankIC_D02,20220526,0.006027661697922425,0.0,2,1,1,0.002257336343115124,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220527,-0.0009561332601507778,0.0,2,1,1,0.002257336343115124,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220530,0.009301566340881086,0.0,2,1,1,0.002257336343115124,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220531,0.015729583488952356,0.0,2,1,1,0.002257336343115124,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220601,0.007404062145465511,0.0,2,1,1,0.002257336343115124,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220602,0.01033634925342925,0.5866666666666667,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220606,0.019857193187328502,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220607,-0.006605382046336208,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220608,-0.0008752451221629945,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220609,-0.020798438079336817,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220610,0.016975813786725157,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220613,0.0034000884183160284,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220614,0.000421251715718151,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220615,-6.380278964984868e-05,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220616,0.009598819101379837,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220617,0.007104670840477613,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220620,0.015658369242655127,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220621,-0.0014008025388183877,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220622,-0.013386466975740117,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220623,0.018756668444402345,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220624,0.012938906090484367,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220627,0.010111900949059387,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220628,0.014760805084568035,0.0,0,0,0,0.0,Composite_RollingRankIC,2
