composite_factor,trade_date,bucket,average_forward_return,stock_count
Composite_Equal,20241129,5,-0.08396384514167664,513
Composite_Equal,20241129,6,-0.07674563178784703,513
Composite_Equal,20241129,7,-0.0765178895833889,513
Composite_Equal,20241129,8,-0.07336179556071847,513
Composite_Equal,20241129,9,-0.08730272232744288,513
Composite_Equal,20241129,10,-0.11218394060483686,513
Composite_Equal,20241231,1,-0.0075768541776448225,513
Composite_Equal,20241231,2,0.005345793646396398,514
Composite_Equal,20241231,3,0.010298804288924643,514
Composite_Equal,20241231,4,0.019306481516877798,513
Composite_Equal,20241231,5,0.017130968125101797,514
Composite_Equal,20241231,6,0.020482659255103317,514
Composite_Equal,20241231,7,0.019653719440948188,513
Composite_Equal,20241231,8,0.014621880902876503,514
Composite_Equal,20241231,9,0.022121262703969184,514
Composite_Equal,20241231,10,0.019202951677049884,514
Composite_Equal,20250127,1,0.10136062849943397,514
Composite_Equal,20250127,2,0.1030837334742913,516
Composite_Equal,20250127,3,0.08562371787414688,515
Composite_Equal,20250127,4,0.07971948745582201,516
Composite_Equal,20250127,5,0.0695000732807157,516
Composite_Equal,20250127,6,0.06824695389332354,515
Composite_Equal,20250127,7,0.06393202420258802,516
Composite_Equal,20250127,8,0.06602211050955446,515
Composite_Equal,20250127,9,0.0793935223404629,516
Composite_Equal,20250127,10,0.08308279712247732,516
Composite_Equal,20250228,1,-0.031153101192800067,515
Composite_Equal,20250228,2,-0.012032003583812704,516
Composite_Equal,20250228,3,0.007299168757148151,515
Composite_Equal,20250228,4,0.019526739941527902,516
Composite_Equal,20250228,5,0.013169299585187434,515
Composite_Equal,20250228,6,0.00886553899253572,516
Composite_Equal,20250228,7,0.02756702877070025,515
Composite_Equal,20250228,8,0.0194054843495699,516
Composite_Equal,20250228,9,0.027506153721615686,515
Composite_Equal,20250228,10,0.010777926123893394,516
Composite_Equal,20250331,1,0.002603275992920389,516
Composite_Equal,20250331,2,-0.012970483957032387,516
Composite_Equal,20250331,3,0.003655088549275834,515
Composite_Equal,20250331,4,-0.0019461881181312114,516
Composite_Equal,20250331,5,-0.005046484377888776,516
Composite_Equal,20250331,6,0.005099800714787719,516
Composite_Equal,20250331,7,-0.005637087684358827,516
Composite_Equal,20250331,8,-0.0141748888796069,516
Composite_Equal,20250331,9,-0.0031548161832204128,516
Composite_Equal,20250331,10,0.006650371446065589,516
Composite_Equal,20250430,1,0.03734704551104537,511
Composite_Equal,20250430,2,0.03177601876880316,512
Composite_Equal,20250430,3,0.034346178500014674,513
Composite_Equal,20250430,4,0.027105760306973727,512
Composite_Equal,20250430,5,0.02501776262511283,513
Composite_Equal,20250430,6,0.0302252279382804,513
Composite_Equal,20250430,7,0.03606164700323405,512
Composite_Equal,20250430,8,0.03360068680158023,513
Composite_Equal,20250430,9,0.024785252886477347,513
Composite_Equal,20250430,10,0.020575337553182377,513
Composite_Equal,20250530,1,0.06456674499981119,515
Composite_Equal,20250530,2,0.06452898470035502,516
Composite_Equal,20250530,3,0.06025027580438134,516
Composite_Equal,20250530,4,0.06650931783959466,515
Composite_Equal,20250530,5,0.05339916001735423,516
Composite_Equal,20250530,6,0.05655297651715227,516
Composite_Equal,20250530,7,0.05276505123512355,516
Composite_Equal,20250530,8,0.05737575025639171,516
Composite_Equal,20250530,9,0.05171518636887993,516
Composite_Equal,20250530,10,0.04869313940470722,516
Composite_Equal,20250630,1,0.043697980296452776,514
Composite_Equal,20250630,2,0.053050378323134355,518
Composite_Equal,20250630,3,0.06119365881933917,517
Composite_Equal,20250630,4,0.057968465859369614,518
Composite_Equal,20250630,5,0.05383508471102027,518
Composite_Equal,20250630,6,0.08221912006679766,518
Composite_Equal,20250630,7,0.05958488866814562,518
Composite_Equal,20250630,8,0.04934999280763017,518
Composite_Equal,20250630,9,0.052331631035805175,518
Composite_Equal,20250630,10,0.03406898805089708,518
Composite_Equal,20250731,1,0.09551440249708235,519
Composite_Equal,20250731,2,0.08786744485731388,519
Composite_Equal,20250731,3,0.0975834219918854,519
Composite_Equal,20250731,4,0.08557136354146225,519
Composite_Equal,20250731,5,0.09454534158258147,519
Composite_Equal,20250731,6,0.09725188182327132,519
Composite_Equal,20250731,7,0.08446112872842947,518
Composite_Equal,20250731,8,0.07979223049499157,519
Composite_Equal,20250731,9,0.08564839376586067,519
Composite_Equal,20250731,10,0.11333832464051237,519
Composite_Equal,20250829,1,-0.008252803745582179,519
Composite_Equal,20250829,2,0.016776620304619815,519
Composite_Equal,20250829,3,0.012218424521132662,519
Composite_Equal,20250829,4,0.0110538845721086,518
Composite_Equal,20250829,5,0.009059928650952745,520
Composite_Equal,20250829,6,0.013800904375043091,519
Composite_Equal,20250829,7,0.01202411428145781,519
Composite_Equal,20250829,8,0.011524054984236184,519
Composite_Equal,20250829,9,0.0064643833115915405,519
Composite_Equal,20250829,10,-0.007597080553815711,520
Composite_Equal,20250930,1,0.017377337001708182,520
Composite_Equal,20250930,2,0.01901846145532516,520
Composite_Equal,20250930,3,0.020470818819777248,520
Composite_Equal,20250930,4,0.020328804711715623,520
Composite_Equal,20250930,5,0.012399453099834245,519
Composite_Equal,20250930,6,0.01719301803636462,520
Composite_Equal,20250930,7,0.014759846081325552,520
Composite_Equal,20250930,8,0.010716640419167258,520
Composite_Equal,20250930,9,0.015597600245909641,520
Composite_Equal,20250930,10,0.006632374344405802,521
Composite_Equal,20251031,1,-0.008163167452002573,520
Composite_Equal,20251031,2,-0.007013670542866112,521
Composite_Equal,20251031,3,-0.008795306779496284,521
Composite_Equal,20251031,4,-0.009435206446903053,521
Composite_Equal,20251031,5,-0.013511553280472254,521
Composite_Equal,20251031,6,-0.0167137050432975,520
Composite_Equal,20251031,7,-0.006733836155206472,521
Composite_Equal,20251031,8,-0.006667183975611117,521
Composite_Equal,20251031,9,-0.008662874826742663,521
Composite_Equal,20251031,10,-0.014218735660843498,521
Composite_Equal,20251128,1,0.019718090377627027,521
Composite_Equal,20251128,2,0.036061762294350895,521
Composite_Equal,20251128,3,0.02165992975028641,522
Composite_Equal,20251128,4,0.03917439670107963,521
Composite_Equal,20251128,5,0.027103895719153167,522
Composite_Equal,20251128,6,0.032899620257157106,521
Composite_Equal,20251128,7,0.03203268528178397,521
Composite_Equal,20251128,8,0.029022351318228678,522
Composite_Equal,20251128,9,0.02929469573906336,521
Composite_Equal,20251128,10,0.03710795703829556,522
Composite_Equal,20251231,1,0.00436012946920727,523
Composite_Equal,20251231,2,0.039356834789947906,523
Composite_Equal,20251231,3,0.0416186780427551,523
Composite_Equal,20251231,4,0.02311091833959683,524
Composite_Equal,20251231,5,0.04337919096525101,523
Composite_Equal,20251231,6,0.043896981234462784,523
Composite_Equal,20251231,7,0.03730185858823064,524
Composite_Equal,20251231,8,0.040773568309210445,523
Composite_Equal,20251231,9,0.04174775904213885,522
Composite_Equal,20251231,10,0.040233875904764134,524
Composite_Equal,20260130,1,0.04870471195404855,524
Composite_Equal,20260130,2,0.04922836624890477,524
Composite_Equal,20260130,3,0.03601209008229932,524
Composite_Equal,20260130,4,0.04047185703160712,525
Composite_Equal,20260130,5,0.046097562449793926,524
Composite_Equal,20260130,6,0.05569977791107687,524
Composite_Equal,20260130,7,0.04610872249772928,525
Composite_Equal,20260130,8,0.04980234056221351,524
Composite_Equal,20260130,9,0.046431215796892834,524
Composite_Equal,20260130,10,0.04622544010039926,525
Composite_Equal,20260227,1,-0.06001247870630207,525
Composite_Equal,20260227,2,-0.06184903664070915,525
Composite_Equal,20260227,3,-0.07071515027208562,525
Composite_Equal,20260227,4,-0.07377558951673913,525
Composite_Equal,20260227,5,-0.07407783311871509,526
Composite_Equal,20260227,6,-0.06706401478069009,525
Composite_Equal,20260227,7,-0.06670170890483437,525
Composite_Equal,20260227,8,-0.06308134095241044,525
Composite_Equal,20260227,9,-0.06977126567506003,525
Composite_Equal,20260227,10,-0.07279682826881105,526
Composite_Equal,20260331,1,0.08169914653756466,525
Composite_Equal,20260331,2,0.08176482577732551,526
Composite_Equal,20260331,3,0.06281116752821007,526
Composite_Equal,20260331,4,0.06812830160046413,526
Composite_Equal,20260331,5,0.06664561067717441,526
Composite_Equal,20260331,6,0.0679168915184894,525
Composite_Equal,20260331,7,0.07447769767574154,526
Composite_Equal,20260331,8,0.055719131522498695,526
Composite_Equal,20260331,9,0.06334343489687226,526
Composite_Equal,20260331,10,0.06585752257247618,526
Composite_Equal,20260430,1,-0.05216208221933934,527
Composite_Equal,20260430,2,-0.05267694158101074,527
Composite_Equal,20260430,3,-0.048973138129535666,527
Composite_Equal,20260430,4,-0.04869998684692891,527
Composite_Equal,20260430,5,-0.03874681527574011,528
Composite_Equal,20260430,6,-0.03319446172751139,527
Composite_Equal,20260430,7,-0.02190755255907513,527
Composite_Equal,20260430,8,-0.026857343624321232,527
Composite_Equal,20260430,9,-0.0373891176566413,527
Composite_Equal,20260430,10,-0.009556929224931498,528
Composite_Equal,20260529,1,-0.045053605248195565,528
Composite_Equal,20260529,2,-0.04509403791636149,529
Composite_Equal,20260529,3,-0.04284220223765394,529
Composite_Equal,20260529,4,-0.03173309206441614,529
Composite_Equal,20260529,5,-0.02828989174480394,529
Composite_Equal,20260529,6,-0.03394110807947899,529
Composite_Equal,20260529,7,-0.026706898470574805,529
Composite_Equal,20260529,8,-0.013152025848311048,529
Composite_Equal,20260529,9,-0.015033666412598578,529
Composite_Equal,20260529,10,0.014570158051271853,528
Composite_Equal,20260630,1,-0.04729169514071445,529
Composite_Equal,20260630,2,-0.042314814824586676,529
Composite_Equal,20260630,3,-0.033107686818862524,529
Composite_Equal,20260630,4,-0.03545581244439708,529
Composite_Equal,20260630,5,-0.031798704972460234,529
Composite_Equal,20260630,6,-0.029079126475458614,529
Composite_Equal,20260630,7,-0.027395840762287484,529
Composite_Equal,20260630,8,-0.02443034947236985,529
Composite_Equal,20260630,9,-0.03157326918403746,529
Composite_Equal,20260630,10,-0.045914555419623776,530
Composite_RollingRankIC,20220128,1,0.05981779380446366,442
Composite_RollingRankIC,20220128,2,0.04735694923944658,442
Composite_RollingRankIC,20220128,3,0.045184144089902054,442
