factor,trade_date,baseline_log_total_mv,portfolio_log_total_mv,active_log_total_mv,portfolio_size_percentile,baseline_count,holding_count,missing_size_count
Holder_Concen,20240329,13.276047268731112,13.301244140436845,0.025196871705732704,0.4971486237718192,4746,950,0
Holder_Concen,20240430,13.263086942110602,13.3227504245819,0.05966348247129716,0.5038610924927531,4805,961,0
Holder_Concen,20240531,13.24192233798495,13.309996851697345,0.06807451371239459,0.5074947811512761,4830,966,0
Holder_Concen,20240628,13.147761777200477,13.223076823062993,0.07531504586251536,0.50963860050543,4840,968,0
Holder_Concen,20240731,13.149163922673143,13.213320447215594,0.06415652454245091,0.5062857334305289,4841,968,0
Holder_Concen,20240830,13.10892862469891,13.211707870438183,0.10277924573927244,0.5138523811673665,4892,978,0
Holder_Concen,20240930,13.31485535525786,13.412218796142028,0.09736344088416793,0.510549042065806,4900,980,0
Holder_Concen,20241031,13.388220696541609,13.512522426342473,0.12430172980086418,0.518561499884104,4943,988,0
Holder_Concen,20241129,13.43218087661393,13.558483974494,0.12630309788006855,0.5200645364282579,4955,991,0
Holder_Concen,20241231,13.373804501447948,13.51598726826259,0.14218276681464204,0.5246997137925656,4962,992,0
Holder_Concen,20250127,13.358305419843813,13.506659314745688,0.14835389490187545,0.5275270943330612,4971,995,0
Holder_Concen,20250228,13.42830843073559,13.564342961831544,0.13603453109595343,0.5253379690856322,4972,994,0
Holder_Concen,20250331,13.429326252393754,13.554671535801809,0.1253452834080555,0.5233223430188505,4977,996,0
Holder_Concen,20250430,13.41771585619201,13.647150084348215,0.2294342281562063,0.5455819251701787,4989,997,0
Holder_Concen,20250530,13.45182489751561,13.680597849769295,0.228772952253685,0.546138775500455,5014,1002,0
Holder_Concen,20250630,13.502347757793052,13.721206585302454,0.21885882750940233,0.5432179793158314,5028,1005,0
Holder_Concen,20250731,13.550204154736436,13.774083382985237,0.22387922824880135,0.5442498092953214,5030,1006,0
Holder_Concen,20250829,13.624631436381735,13.821095193863654,0.19646375748191858,0.537820762872169,5051,1010,0
Holder_Concen,20250930,13.626138749818043,13.834342359130908,0.2082036093128643,0.542012555444871,5058,1011,0
Holder_Concen,20251031,13.64049943561976,13.829489380358961,0.18898994473920006,0.5390609381007305,5100,1020,0
Holder_Concen,20251128,13.624605876304344,13.807710688161267,0.18310481185692318,0.5369788805707066,5097,1019,0
Holder_Concen,20251231,13.638941681006017,13.825859724958857,0.18691804395283995,0.5378433887385473,5105,1021,0
Holder_Concen,20260130,13.710344845572484,13.885694819867558,0.1753499742950737,0.5355010019751718,5105,1021,0
Holder_Concen,20260227,13.744968713119851,13.916304799911874,0.1713360867920226,0.5345583955409041,5107,1022,0
Holder_Concen,20260331,13.636298104492537,13.814413055519465,0.17811495102692732,0.5365371861749653,5104,1021,0
Holder_Concen,20260430,13.69918345523795,13.888952334226152,0.18976887898820216,0.5363125246954993,5167,1033,0
Holder_Concen,20260529,13.655403980743518,13.844018897282806,0.1886149165392883,0.536049879423522,5171,1034,0
Holder_Concen,20260630,13.59119692200572,13.770364797687071,0.17916787568135106,0.5332542084118568,5165,1033,0
Main_Net_In,20220128,13.550865560468134,14.068686379695423,0.5178208192272891,0.643811466871456,4347,869,0
Main_Net_In,20220228,13.592286109608327,14.125916510107773,0.5336304004994457,0.6404727107028978,4364,873,0
Main_Net_In,20220331,13.52801975793759,13.851726243574614,0.32370648563702353,0.5833812319312248,4394,879,0
Main_Net_In,20220429,13.361630504477954,14.274503241028313,0.9128727365503586,0.7236372907296434,4394,869,0
Main_Net_In,20220531,13.458118149708506,14.20855449026476,0.750436340556254,0.6810375692926898,4408,882,0
Main_Net_In,20220630,13.528999529964288,14.176753319818662,0.6477537898543737,0.6579951999755412,4430,886,0
Main_Net_In,20220729,13.555656174294471,13.827031174848091,0.2713750005536202,0.5806841605764407,4456,891,0
Main_Net_In,20220831,13.515233183875177,13.795844515080157,0.2806113312049803,0.5632253554638949,4506,901,0
Main_Net_In,20220930,13.416853067945661,13.783120422866572,0.366267354920911,0.59406425117297,4541,909,0
Main_Net_In,20221031,13.446074577073771,13.851816221838858,0.40574164476508656,0.618694793112508,4565,913,0
Main_Net_In,20221130,13.512319454305379,13.94681397334164,0.4344945190362619,0.6144044196909809,4598,920,0
Main_Net_In,20221230,13.469273027585707,13.961090342588752,0.49181731500304515,0.6363843767752387,4618,924,0
Main_Net_In,20230131,13.546768965568,13.806746749398846,0.2599777838308448,0.5841531601918964,4621,924,0
Main_Net_In,20230228,13.576842466162875,13.903298238555772,0.32645577239289736,0.592611683449762,4640,928,0
Main_Net_In,20230331,13.560132888494374,14.056112500385535,0.49597961189116013,0.6414832343986666,4666,933,0
Main_Net_In,20230428,13.534570318465029,14.264798363002528,0.7302280445374993,0.6913522241394844,4670,927,0
Main_Net_In,20230531,13.53264398397183,13.812689357344897,0.280045373373067,0.5881905954377857,4695,939,0
Main_Net_In,20230630,13.537424310362432,14.10490735281072,0.5674830424482877,0.6538319624704021,4740,948,0
Main_Net_In,20230731,13.548877975728354,13.984427870668718,0.43554989494036356,0.6290325676584433,4761,952,0
Main_Net_In,20230831,13.508808348305248,13.832930373544379,0.3241220252391308,0.5959695254140918,4788,958,0
Main_Net_In,20230928,13.503312173960904,13.985190467993885,0.4818782940329811,0.6435318555949158,4799,960,0
Main_Net_In,20231031,13.489515754384646,13.732616029621965,0.24310027523731925,0.5800476324493791,4809,962,0
Main_Net_In,20231130,13.520349683442717,13.797677747804698,0.2773280643619813,0.5779641793357553,4820,964,0
Main_Net_In,20231229,13.49939235896444,13.878130499552267,0.37873814058782607,0.6163088174576737,4829,966,0
Main_Net_In,20240131,13.28681139877386,13.43178854145652,0.14497714268265938,0.5396446710779254,4845,969,0
Main_Net_In,20240229,13.340805770926234,13.805347445211403,0.4645416742851687,0.6121814501037732,4848,970,0
Main_Net_In,20240329,13.379360185731603,13.785607280428545,0.4062470946969423,0.5991486369387837,4855,971,0
Main_Net_In,20240430,13.369059730297765,13.646692032076123,0.2776323017783575,0.5734317451905333,4823,964,0
Main_Net_In,20240531,13.348872416735363,13.862384625394357,0.5135122086589945,0.6350360229321901,4848,970,0
Main_Net_In,20240628,13.253177366468387,13.892528966682251,0.639351600213864,0.6518647531554888,4857,971,0
Main_Net_In,20240731,13.251853700554387,14.036528280062102,0.7846745795077155,0.6969826216188763,4857,971,0
Main_Net_In,20240830,13.209220936179618,13.983035268120934,0.7738143319413169,0.6987107231983506,4863,972,0
Main_Net_In,20240930,13.409854922499676,13.844869602953091,0.4350146804534152,0.6153482755644897,4864,972,0
Main_Net_In,20241031,13.46387529229249,13.91308093934329,0.4492056470507997,0.6236216345541666,4867,973,0
Main_Net_In,20241129,13.501306918582696,14.076488056440443,0.5751811378577472,0.6350054516008724,4879,976,0
Main_Net_In,20241231,13.455541022363782,13.534485289151311,0.07894426678752886,0.5236573458170184,4884,977,0
Main_Net_In,20250127,13.438331578917825,13.723468859270103,0.28513728035227714,0.5694917337978688,4897,980,0
Main_Net_In,20250228,13.500345558876093,13.629904009544639,0.12955845066854543,0.5396440814474316,4898,979,0
Main_Net_In,20250331,13.499861187011565,13.66996978393491,0.17010859692334535,0.5505660027732783,4901,980,0
Main_Net_In,20250430,13.484223083100545,13.94935407236279,0.46513098926224394,0.6359757805507295,4875,974,0
Main_Net_In,20250530,13.516092008827323,13.746895758174697,0.23080374934737335,0.5687483353863569,4904,980,0
Main_Net_In,20250630,13.566033026080403,14.068590377944586,0.5025573518641835,0.6495992370510985,4921,984,0
Main_Net_In,20250731,13.61712125192931,14.188937364379726,0.5718161124504153,0.6547956407982152,4926,986,0
Main_Net_In,20250829,13.692889660953206,14.002834602894144,0.30994494194093747,0.6004851543190479,4927,985,0
Main_Net_In,20250930,13.69811038343911,14.103372710361587,0.4052623269224771,0.6190334595118356,4932,986,0
Main_Net_In,20251031,13.710679633881094,14.219802123147154,0.5091224892660602,0.6486878985067778,4940,988,0
Main_Net_In,20251128,13.70283922987698,14.1494591342652,0.4466199043882195,0.6186133734907862,4937,987,0
Main_Net_In,20251231,13.719240596009984,14.151754195909815,0.4325135998998313,0.6302941159702862,4956,991,0
Main_Net_In,20260130,13.791123786109221,14.284295864664237,0.4931720785550162,0.6245627899934769,4962,993,0
Main_Net_In,20260227,13.827835653161069,14.28792006732665,0.460084414165582,0.6353595703473915,4967,994,0
Main_Net_In,20260331,13.724635579376274,14.082725680563652,0.3580901011873774,0.6049909280527135,4967,994,0
Main_Net_In,20260430,13.791326832462977,14.31614725373945,0.5248204212764733,0.64542765236372,4974,994,0
Main_Net_In,20260529,13.752674397049143,14.134481710034223,0.38180731298507986,0.6073749250614012,4984,996,0
Main_Net_In,20260630,13.692298534531536,14.59932779935534,0.9070292648238034,0.7206658394267695,4981,996,0
Momentum_60D,20220128,13.525514085494677,13.292687382020446,-0.23282670347423107,0.44271081115620325,4316,863,0
Momentum_60D,20220228,13.561107724861802,13.465063459655422,-0.09604426520638043,0.4754333347220999,4354,871,0
Momentum_60D,20220331,13.49460980570663,13.44649508490593,-0.048114720800700894,0.48680221018463,4397,880,0
Momentum_60D,20220429,13.33118365715323,13.731852772879432,0.4006691157262008,0.5978947826880916,4391,868,0
Momentum_60D,20220531,13.426465291050366,13.696390087109531,0.26992479605916486,0.5734547290141169,4413,883,0
Momentum_60D,20220630,13.489967508283232,13.960297925176295,0.4703304168930629,0.6222444646954732,4451,890,0
Momentum_60D,20220729,13.512756748752743,13.639081994948544,0.1263252461958011,0.5552787960607118,4493,899,0
Momentum_60D,20220831,13.47090061337809,13.514657940470174,0.04375732709208435,0.5258818529536761,4524,905,0
Momentum_60D,20220930,13.374473253300081,13.434178915357268,0.05970566205718697,0.513785818229285,4546,910,0
Momentum_60D,20221031,13.401405658575724,13.56860125134549,0.16719559276976526,0.5528766786731817,4570,914,1
Momentum_60D,20221130,13.463920410080334,13.629323778144132,0.16540336806379763,0.5511386907621906,4630,926,0
Momentum_60D,20221230,13.407711937116101,13.484329992492201,0.0766180553761,0.532185435159374,4691,938,0
Momentum_60D,20230131,13.481559576081235,13.743246047239541,0.26168647115830623,0.5608878905885141,4718,944,0
Momentum_60D,20230228,13.502750960997577,13.630590635312574,0.12783967431499654,0.5362767181462742,4756,951,0
Momentum_60D,20230331,13.48085225480312,13.617063461247701,0.13621120644458173,0.542293891068417,4796,959,0
Momentum_60D,20230428,13.452472802881285,13.882586709142462,0.43011390626117674,0.614079781939816,4789,951,0
Momentum_60D,20230531,13.449260725176625,13.786919226014541,0.33765850083791626,0.5910147830492998,4812,963,0
Momentum_60D,20230630,13.452288358981555,13.485065643452627,0.032777284471071866,0.511789895589601,4851,970,0
Momentum_60D,20230731,13.46411805487674,13.245381936139564,-0.21873611873717635,0.43172945457605033,4876,975,0
Momentum_60D,20230831,13.418368436113168,13.375413717011758,-0.042954719101409466,0.4693152161426548,4911,982,0
Momentum_60D,20230928,13.410372961648442,13.480287045655428,0.06991408400698695,0.494701833436409,4944,989,0
Momentum_60D,20231031,13.393426037860113,13.319875259420385,-0.07355077843972779,0.4777721774702658,4975,995,0
Momentum_60D,20231130,13.438925111450137,13.101344758430228,-0.3375803530199093,0.4313291580511631,5010,1002,0
Momentum_60D,20231229,13.428516737782296,13.079345938689407,-0.34917079909288873,0.41312706265726684,5026,1005,0
Momentum_60D,20240131,13.21387136424917,13.518463609041463,0.30459224479229263,0.5598464424325902,5046,1010,0
Momentum_60D,20240229,13.266541073473416,14.193285685712965,0.9267446122395491,0.7060280305397554,5052,1011,0
Momentum_60D,20240329,13.297546076582872,14.221359644605258,0.9238135680223856,0.7233303834321115,5071,1015,0
Momentum_60D,20240430,13.283589341720116,14.15011943259855,0.8665300908784346,0.7221824730132315,5049,1009,0
Momentum_60D,20240531,13.262492674008307,13.491769049754225,0.22927637574591841,0.5609142499534999,5080,1016,0
Momentum_60D,20240628,13.167419088439715,13.845278787642311,0.677859699202596,0.6543725707404248,5090,1018,0
Momentum_60D,20240731,13.169008118801695,13.563376788703291,0.3943686699015956,0.5733174786491285,5088,1017,0
Momentum_60D,20240830,13.124173169849549,12.775285393023875,-0.3488877768256735,0.38619454030939454,5091,1018,0
Momentum_60D,20240930,13.329450476932854,13.264974966523592,-0.06447551040926136,0.48502895264003093,5093,1018,0
Momentum_60D,20241031,13.398920580162363,13.17648197389683,-0.22243860626553236,0.4511263851845561,5090,1018,0
Momentum_60D,20241129,13.443264873767433,13.293483442368416,-0.1497814313990169,0.4678191450056361,5103,1021,0
Momentum_60D,20241231,13.384026791623763,13.344772590229478,-0.03925420139428404,0.49745868667101534,5112,1022,0
Momentum_60D,20250127,13.36839965639523,13.386454312554616,0.01805465615938573,0.5136890898274834,5125,1025,0
Momentum_60D,20250228,13.437340983345035,13.628534144563982,0.1911931612189477,0.5704926015567193,5132,1026,0
Momentum_60D,20250331,13.436965929983877,13.297862721670082,-0.13910320831379508,0.4722595093147149,5135,1027,0
Momentum_60D,20250430,13.426010268948152,13.238263850147133,-0.1877464188010194,0.4577505457793384,5110,1021,0
Momentum_60D,20250530,13.459663928841339,13.275804031856524,-0.1838598969848153,0.44834251061193997,5136,1026,0
Momentum_60D,20250630,13.510172960583642,13.20401970513291,-0.3061532554507327,0.4124243209542696,5160,1032,0
Momentum_60D,20250731,13.556297376052129,13.54195882600302,-0.014338550049108889,0.5028040621574906,5169,1034,0
Momentum_60D,20250829,13.630548415847143,13.975183260235157,0.3446348443880147,0.6116953216472553,5174,1035,0
Momentum_60D,20250930,13.632753332989392,14.171392301982225,0.5386389689928333,0.6538588418777644,5179,1036,0
Momentum_60D,20251031,13.646414887443296,14.043345662059737,0.39693077461644144,0.6134617383158214,5187,1037,0
Momentum_60D,20251128,13.630810886116636,13.799235244484343,0.16842435836770697,0.5427562374927527,5186,1037,0
Momentum_60D,20251231,13.644301603164122,13.85673332530457,0.21243172214044748,0.56083847188951,5202,1040,0
Momentum_60D,20260130,13.715741349667704,14.15261992085537,0.43687857118766615,0.6311389826929836,5213,1043,0
Momentum_60D,20260227,13.749971882133659,14.197450540767878,0.44747865863421943,0.6377807179415759,5222,1045,0
Momentum_60D,20260331,13.642633177726763,13.977359828038843,0.3347266503120796,0.6006111346060568,5231,1046,0
Momentum_60D,20260430,13.70480959473836,14.108117326175996,0.40330773143763565,0.6086966233457435,5238,1047,0
Momentum_60D,20260529,13.660074618502874,14.211196078123368,0.5511214596204947,0.6461897508432158,5252,1050,0
Momentum_60D,20260630,13.594838915520173,14.409422724517961,0.8145838089977886,0.7050690577875914,5259,1052,0
