factor,trade_date,decile,average_forward_return,stock_count
Debt_to_Equity,20260130,5,0.04563926503239843,525
Debt_to_Equity,20260130,6,0.05071221704291227,525
Debt_to_Equity,20260130,7,0.04331081302092245,525
Debt_to_Equity,20260130,8,0.03248013046319115,525
Debt_to_Equity,20260130,9,0.036454467048432845,525
Debt_to_Equity,20260130,10,0.023990865258888737,525
Debt_to_Equity,20260227,1,-0.04961503401181663,525
Debt_to_Equity,20260227,2,-0.06425006381244429,526
Debt_to_Equity,20260227,3,-0.0706512715489404,526
Debt_to_Equity,20260227,4,-0.07069482876326556,526
Debt_to_Equity,20260227,5,-0.07272063642245594,526
Debt_to_Equity,20260227,6,-0.07138561224216756,525
Debt_to_Equity,20260227,7,-0.06607809411225755,526
Debt_to_Equity,20260227,8,-0.07119356629254144,526
Debt_to_Equity,20260227,9,-0.07333301657319556,526
Debt_to_Equity,20260227,10,-0.07057044346381482,526
Debt_to_Equity,20260331,1,0.04659264886789425,526
Debt_to_Equity,20260331,2,0.07696007187383927,527
Debt_to_Equity,20260331,3,0.07765962825919703,526
Debt_to_Equity,20260331,4,0.07356399272031577,527
Debt_to_Equity,20260331,5,0.07093771240359319,527
